title,time,videolink
b'Creating Routes & Schema for Storing Notes & Users | Complete React Course in Hindi #44',21:38,https://www.youtube.com/watch?v=HpszyPglBtQ
b'Storing Data into the Database Using Mongoose Model | Complete React Course in Hindi #45',12:02,https://www.youtube.com/watch?v=weIrv6WbIec
b'Adding Data Validation Using express-validator | Complete React Course in Hindi #46',12:02,https://www.youtube.com/watch?v=N4GHLaCSXUg
b'Creating ThunderClient Collections to Manage Requests | Complete React Course in Hindi #47',15:40,https://www.youtube.com/watch?v=vqCirjK61HI
"b'Understanding Password Hashing, Salt & Pepper | Complete React Course in Hindi #48'",17:36,https://www.youtube.com/watch?v=inEhzp3nD0M
b'Hashing Passwords using bcryptjs in NodeJs | Complete React Course in Hindi #49',14:35,https://www.youtube.com/watch?v=nSIo0kHZcic
b'Creating Login Endpoint & sending auth token| Complete React Course in Hindi #50',11:35,https://www.youtube.com/watch?v=j9fcNuNx-DA
b'Creating a middleware to decode user from a JWT | Complete React Course in Hindi #51',14:44,https://www.youtube.com/watch?v=qY0PZ-z61EQ
b'Fetching all notes & Adding a Note | Complete React Course in Hindi #52',16:43,https://www.youtube.com/watch?v=nXKUJipczn0
b'Updating an existing Note | Complete React Course in Hindi #53',15:15,https://www.youtube.com/watch?v=2rwfG4H2FCk
b'Endpoint for deleting a Note | Complete React Course in Hindi #54',09:51,https://www.youtube.com/watch?v=vdfCuvV9WaE
b'iNotebook React Project Setup | Complete React Course in Hindi #55',11:19,https://www.youtube.com/watch?v=hfjQLssL0hs
b'Creating Navbar and Routes | Complete React Course in Hindi #56',10:59,https://www.youtube.com/watch?v=x1Zs1kPqyxQ
b'Introduction to React Context API | Complete React Course in Hindi #57',10:28,https://www.youtube.com/watch?v=3u9GZQN7ZUQ
b'useContext hook: Using React Context API | Complete React Course in Hindi #58',19:08,https://www.youtube.com/watch?v=coM0JK6o3mo
b'useLocation Hook in React | Complete React Course in Hindi #59',10:48,https://www.youtube.com/watch?v=fqIZnugmDhY
b'iNotebook: Fetching Notes from Context | Complete React Course in Hindi #60',06:19,https://www.youtube.com/watch?v=94BdnDVHrP0
b'iNotebook: Adding NoteItem in a Separate Note component | Complete React Course in Hindi #61',06:59,https://www.youtube.com/watch?v=GsVXwTeMn4o
